ISO code,Country,Variable code,Variable name,1990,2019
KEN,Kenya,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),52272.2109375,217529.4375
KGZ,Kyrgyzstan,pop,Population (in millions),4.372885,6.41585
KGZ,Kyrgyzstan,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),36014.51953125,32178.349609375
KHM,Cambodia,pop,Population (in millions),8.975597,16.486542
KHM,Cambodia,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),10325.861328125,69445.9921875
KNA,Saint Kitts and Nevis,pop,Population (in millions),0.040259,0.052823
KNA,Saint Kitts and Nevis,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),437.233459472656,1457.37939453125
KOR,Republic of Korea,pop,Population (in millions),42.918419,51.225308
KOR,Republic of Korea,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),565140.75,2090945.875
KWT,Kuwait,pop,Population (in millions),2.095344,4.207083
KWT,Kuwait,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),45861.21875,235355.984375
LAO,Lao People's DR,pop,Population (in millions),4.258472,7.169455
LAO,Lao People's DR,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),5387.4921875,52760.83203125
LBN,Lebanon,pop,Population (in millions),2.803044,6.855713
LBN,Lebanon,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),11401.3427734375,100265.5703125
LBR,Liberia,pop,Population (in millions),2.075912,4.937374
LBR,Liberia,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),1945.7958984375,6062.126953125
LCA,Saint Lucia,pop,Population (in millions),0.13802,0.18279
LCA,Saint Lucia,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),1281.1337890625,2766.35375976563
LKA,Sri Lanka,pop,Population (in millions),17.325773,21.323733
LKA,Sri Lanka,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),55257.37109375,271111
LSO,Lesotho,pop,Population (in millions),1.703747,2.125268
LSO,Lesotho,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),2369.328125,5521.240234375
LTU,Lithuania,pop,Population (in millions),3.696035,2.759627
LTU,Lithuania,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),53623.6875,103480.1875
LUX,Luxembourg,pop,Population (in millions),0.381791,0.615729
LUX,Luxembourg,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),17541.1640625,69541.328125
LVA,Latvia,pop,Population (in millions),2.664439,1.906743
LVA,Latvia,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),44957.03515625,59915.99609375
MAC,"China, Macao SAR",pop,Population (in millions),0.343808,0.640445
MAC,"China, Macao SAR",rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),9127.78125,67463.125
MAR,Morocco,pop,Population (in millions),24.807462,36.471769
MAR,Morocco,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),107734.5390625,281738.125
MDA,Republic of Moldova,pop,Population (in millions),4.365564,4.043263
MDA,Republic of Moldova,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),28890.759765625,35119.203125
MDG,Madagascar,pop,Population (in millions),11.598633,26.969307
MDG,Madagascar,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),15815.4091796875,40378.0234375
MDV,Maldives,pop,Population (in millions),0.223158,0.530953
MDV,Maldives,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),1121.79418945313,10161.5830078125
MEX,Mexico,pop,Population (in millions),83.943132,127.575529
MEX,Mexico,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),1014961.5625,2463237.75
MKD,North Macedonia,pop,Population (in millions),1.996228,2.083459
MKD,North Macedonia,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),12411.3056640625,33646.66015625
MLI,Mali,pop,Population (in millions),8.449913,19.658031
MLI,Mali,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),6139.39404296875,47398.62109375
MLT,Malta,pop,Population (in millions),0.362015,0.440372
MLT,Malta,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),5354.54541015625,22352.87890625
MMR,Myanmar,pop,Population (in millions),41.335199,54.04542
MMR,Myanmar,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),30953.17578125,260493.546875
MNE,Montenegro,pop,Population (in millions),0.615002,0.627987
